
Liste des tickets avec taches GLPI migrees vers DSIHUB
Total: 11279 tickets, 15577 taches GLPI migrees
Ticket #96 | Archivage fichiers de pointage | 1 tache(s) | IDs GLPI: 51114
Ticket #41385 | Bourrage papier sur l'imprimante | 1 tache(s) | IDs GLPI: 3895
Ticket #41387 | problème sur le poste 2723 | 1 tache(s) | IDs GLPI: 3892
Ticket #41388 | Matériel visio - salon de réception lundi 13 octobre | 1 tache(s) | IDs GLPI: 3890
Ticket #41389 | problème de scan to mail  | 1 tache(s) | IDs GLPI: 3888
Ticket #41390 | Fiche arrivée Luxy | 1 tache(s) | IDs GLPI: 3886
Ticket #41392 | TR: [SPAM SUSPECTÉ] Confirmation de commande n° 486568 VILLE D'IVRY SUR SEINE  12/11 | 3 tache(s) | IDs GLPI: 3881,3882,3883
Ticket #41395 | RE: Formation-DRH | 1 tache(s) | IDs GLPI: 3877
Ticket #41396 | TR: Futur restaurant tunisien - 89 rue Jean Le Galleu | 1 tache(s) | IDs GLPI: 3875
Ticket #41397 | pc qui  redémarre tout seul | 1 tache(s) | IDs GLPI: 3873
Ticket #41398 | elise problème de connexion  | 1 tache(s) | IDs GLPI: 3871
Ticket #41400 | Supprimer AMhoma@ivry94.fr  de la liste des responsables de service | 1 tache(s) | IDs GLPI: 3868
Ticket #41406 | scanner ne fonctionne pas  | 2 tache(s) | IDs GLPI: 3858,3860
Ticket #41407 | Demande ouverture de compte | 1 tache(s) | IDs GLPI: 3856
Ticket #41409 | Nouvel élu : LAURENT AUDEBRAND | 2 tache(s) | IDs GLPI: 3853,3854
Ticket #41412 | Les scan n'arrivent pas sur Outlook = Photo-CASC-01 sur Gutenberg5 | 1 tache(s) | IDs GLPI: 3849
Ticket #41414 | problème téléphonique  | 1 tache(s) | IDs GLPI: 3846
Ticket #41415 | Demande de création de compte | 2 tache(s) | IDs GLPI: 3843,3844
Ticket #41418 | Application des locations de cars | 2 tache(s) | IDs GLPI: 3838,3839
Ticket #41419 | problème requiem | 1 tache(s) | IDs GLPI: 3836
Ticket #41423 | URGENT  / Demande d'ouverture de droit pour installation d'une imprimante à domicile dans le cadre du télétravail. | 1 tache(s) | IDs GLPI: 3829
Ticket #41424 | PROTYS = Outils Compte-rendu Chantier | 4 tache(s) | IDs GLPI: 3824,3825,3826,3827
Ticket #41433 | Création compte ville | 1 tache(s) | IDs GLPI: 3815
Ticket #41436 | Demande d'installation de l'appli "gamme Nomade" Astech sur tablette Mariza NICOLAU | 1 tache(s) | IDs GLPI: 3811
Ticket #41444 | Demande de remplacement de mon ordinateur portable – problème de batterie | 1 tache(s) | IDs GLPI: 3801
Ticket #41448 | demande création compte | 1 tache(s) | IDs GLPI: 3796
Ticket #41450 | TR: Arrivée service vacances | 3 tache(s) | IDs GLPI: 3791,3792,3793
Ticket #41458 | Demande d’accès au dossier K:\Attestation AEEH | 1 tache(s) | IDs GLPI: 3782
Ticket #41464 | TR: AVANT-SEINE N°914 - L'hebdo du 14 au 20 octobre : 17 octobre, Léger à Midi... | 2 tache(s) | IDs GLPI: 3776,3777
Ticket #41466 | problème imprimante MOQUET | 1 tache(s) | IDs GLPI: 3772
Ticket #41467 | Matériel pour accueil spécifique Kiné | 1 tache(s) | IDs GLPI: 3769
Ticket #41470 | Changement service et dotation M. Afrej | 1 tache(s) | IDs GLPI: 3765
Ticket #41471 | TR: RE: Adressage Hot-Line | 2 tache(s) | IDs GLPI: 3761,3762
Ticket #41473 | Nouvelle arrivéee | 3 tache(s) | IDs GLPI: 3757,3758,3759
Ticket #41474 | Fiche_arrivee.doc | 1 tache(s) | IDs GLPI: 3755
Ticket #41475 | Compte à supprimer | 1 tache(s) | IDs GLPI: 3753
Ticket #41477 | TR: Message non distribué | 2 tache(s) | IDs GLPI: 3749,3750
Ticket #41480 | TR: À bientôt | 1 tache(s) | IDs GLPI: 3745
Ticket #41482 | Boîte mail | 1 tache(s) | IDs GLPI: 3742
Ticket #41491 | Ajout destinataire | 1 tache(s) | IDs GLPI: 3733
Ticket #41492 | Intervention demandée – softphone desktop (incident en télétravail) | 1 tache(s) | IDs GLPI: 3729
Ticket #41494 | Accès réseau K | 1 tache(s) | IDs GLPI: 3726
Ticket #41503 | TR: TR: Message non distribué | 3 tache(s) | IDs GLPI: 3712,3713,3714
Ticket #41511 | Fiche_arrivee_changement_service_depart | 1 tache(s) | IDs GLPI: 3704
Ticket #41516 | problème d'imprimante | 1 tache(s) | IDs GLPI: 3696
Ticket #41517 | Demande de modification de prénom suite à création de compte | 1 tache(s) | IDs GLPI: 3694
Ticket #41521 | Fiche_arrivee_Fatia_Osmani | 2 tache(s) | IDs GLPI: 3686,3687
Ticket #41524 | Très URGENT : Mise en place application Totem | 4 tache(s) | IDs GLPI: 3679,3680,3681,3682
Ticket #41525 | Remplacement de combiné ou du câble de liaison de téléphone fixe | 1 tache(s) | IDs GLPI: 3677
Ticket #41526 | Connexion filaire Photocopieurs avec Monnayeur | 4 tache(s) | IDs GLPI: 3672,3673,3674,3675
Ticket #41528 | Compte Rainbow Mr AFREJ Khalid | 1 tache(s) | IDs GLPI: 3668
Ticket #41529 | Changement de service | 1 tache(s) | IDs GLPI: 3666
Ticket #41530 | Boîtes génériques DSANTE | 1 tache(s) | IDs GLPI: 3664
Ticket #41531 | Numéro et identité de téléphone  | 1 tache(s) | IDs GLPI: 3662
Ticket #41533 | TR: locaux des associations | 1 tache(s) | IDs GLPI: 3659
Ticket #41538 | TR: Liste des factures à traiter pour la collectivité 30 - VILLE D IVRY SUR SEINE | 1 tache(s) | IDs GLPI: 3651
Ticket #41539 | DEMANDE ACCES | 1 tache(s) | IDs GLPI: 3649
Ticket #41541 | Connexion à un bureau à distance | 2 tache(s) | IDs GLPI: 3645,3646
Ticket #41542 | Demande d'accès à la machine SIG_SQL pour François Hébrard. | 6 tache(s) | IDs GLPI: 3639,3640,3641,3642,3643,3644
Ticket #41544 | mot de passe messagerie oublié  | 3 tache(s) | IDs GLPI: 3634,3635,3636
Ticket #41547 | TR: DDAC - Demande création dossier | 1 tache(s) | IDs GLPI: 3630
Ticket #41549 | accès airdelib | 1 tache(s) | IDs GLPI: 3628
Ticket #41551 | Service Petite enfance/ Multi accueil Maria Merian | 3 tache(s) | IDs GLPI: 3623,3624,3625
Ticket #41557 | problème de téléphone  | 1 tache(s) | IDs GLPI: 3617
Ticket #41559 | compte canva | 1 tache(s) | IDs GLPI: 3614
Ticket #41562 | interphone | 1 tache(s) | IDs GLPI: 3611
Ticket #41564 | Modification du nom de la ligne | 1 tache(s) | IDs GLPI: 3608
Ticket #41565 | Demande de création d'un dossier partagé sur K "DSF-CCAS" pour échanges de documents relatifs à la facturation | 2 tache(s) | IDs GLPI: 3605,3606
Ticket #41567 | Plus de wifi-élus en mairie | 1 tache(s) | IDs GLPI: 3602
Ticket #41568 | Demande Ecran Ordinateur | 1 tache(s) | IDs GLPI: 3598
Ticket #41573 | RE: [GLPI #0041564] Root entity &gt; Support | Clôture du ticket : Modification du nom de la ligne | 1 tache(s) | IDs GLPI: 3591
Ticket #41583 | TR: Unrecognized Rainbow account | 1 tache(s) | IDs GLPI: 3581
Ticket #41586 | création du compte microsoft pour Elise Saez | 2 tache(s) | IDs GLPI: 3576,3577
Ticket #41587 | Lecteur X plein | 1 tache(s) | IDs GLPI: 3574
Ticket #41588 | Demande d'accès Boite Mail = sdecommerce@ivry94.fr | 4 tache(s) | IDs GLPI: 3569,3570,3571,3572
Ticket #41597 | wifi Robespierre | 1 tache(s) | IDs GLPI: 3557
Ticket #41598 | Accès K  | 1 tache(s) | IDs GLPI: 3556
Ticket #41599 | Demande d'intégration mail  | 1 tache(s) | IDs GLPI: 3554
Ticket #41601 | Ajout boite mail | 3 tache(s) | IDs GLPI: 3549,3550,3551
Ticket #41602 | URGENT - Bouclage Ivry ma Ville | 1 tache(s) | IDs GLPI: 3547
Ticket #41603 | TR: Problème de mise à jour système | 1 tache(s) | IDs GLPI: 3545
Ticket #41606 | TR: manque d'espace dossiers communs | 1 tache(s) | IDs GLPI: 3541
Ticket #41607 | RE: [GLPI #0038961] Root entity &gt; Support | Clôture du ticket : RE: Arborescence DBC | 1 tache(s) | IDs GLPI: 3539
Ticket #41609 | Rattachement boite mail | 1 tache(s) | IDs GLPI: 3534
Ticket #41612 | Relance de combiné téléphonique | 1 tache(s) | IDs GLPI: 3530
Ticket #41613 | Liste distribution "Responsables de service" | 1 tache(s) | IDs GLPI: 3529
Ticket #41614 | Installation logiciels métier | 1 tache(s) | IDs GLPI: 3527
Ticket #41619 | Demande du mot de passe : MAIRIE IVRY - pour test sur tablette pour RPI CAVE | 2 tache(s) | IDs GLPI: 3519,3520
Ticket #41621 | TR: bruit dans l’armoire contenant les boxes | 2 tache(s) | IDs GLPI: 3514,3516
Ticket #41623 | Fiche_arrivee_changement_service_depart | 1 tache(s) | IDs GLPI: 3512
Ticket #41625 | Nouvelle arrivée | 2 tache(s) | IDs GLPI: 3508,3509
Ticket #41627 | Accès boite mail SCHS | 1 tache(s) | IDs GLPI: 3505
Ticket #41628 | Demande d'accès pour envoyer des mail | 1 tache(s) | IDs GLPI: 3503
Ticket #41630 | Imprimante USB HS CCAS Cachin | 1 tache(s) | IDs GLPI: 3500
Ticket #41633 | Imprimante RAM Hartmann HS | 1 tache(s) | IDs GLPI: 3496
Ticket #41634 | Fiche arrivée assistante évènementielle & administrative service RPI  | 1 tache(s) | IDs GLPI: 3494
Ticket #41635 | Connexion e-sedit GF HS | 1 tache(s) | IDs GLPI: 3492
Ticket #41637 | Espace disque insuffisant X:  | 1 tache(s) | IDs GLPI: 3489
Ticket #41639 | Récupération de dossier | 1 tache(s) | IDs GLPI: 3486
Ticket #41641 | PB Connexion imprimantes HDV | 1 tache(s) | IDs GLPI: 3483
Ticket #41644 | Droits d'accès | 1 tache(s) | IDs GLPI: 3479
Ticket #41645 | création compte outlook et accès à X  | 2 tache(s) | IDs GLPI: 3476,3477
Ticket #41652 | Mise à jour des annuaires des lignes téléphoniques des agents du SCVAJ  de la DJEUN | 2 tache(s) | IDs GLPI: 3467,3468
Ticket #41653 | RE: Nouvelle arrivéee | 1 tache(s) | IDs GLPI: 3465
Ticket #41659 | impossible d'appeler  | 1 tache(s) | IDs GLPI: 3458
Ticket #41660 | Marie Bayard : Installation logiciels métier | 1 tache(s) | IDs GLPI: 3456
Ticket #41662 | activation de la ligne téléphonique BCD Makarenko élémentaire | 1 tache(s) | IDs GLPI: 3454
Ticket #41665 | Demande d'accès dossier | 1 tache(s) | IDs GLPI: 3450
Ticket #41667 | compte utilisateur  | 1 tache(s) | IDs GLPI: 3445
Ticket #41670 | Demande de MAJ W11 | 1 tache(s) | IDs GLPI: 3441
Ticket #41671 | Ne parvient pas à se connecter à NOMAD sur le PDA | 3 tache(s) | IDs GLPI: 3437,3438,3439
Ticket #41673 | eco tel | 1 tache(s) | IDs GLPI: 3432
Ticket #41677 | email bloqué | 1 tache(s) | IDs GLPI: 3427
Ticket #41680 | Réinstallation Imprimante suite déménagement SPINOZA | 2 tache(s) | IDs GLPI: 3422,3423
Ticket #41688 | quota | 1 tache(s) | IDs GLPI: 3415
Ticket #41689 | problème d'envoie  | 1 tache(s) | IDs GLPI: 3413
Ticket #41690 | Accès à eAgora et problème téléphone | 1 tache(s) | IDs GLPI: 3411
Ticket #41691 | Droit d'accès | 1 tache(s) | IDs GLPI: 3409
Ticket #41693 | Accès AirDelib | 2 tache(s) | IDs GLPI: 3405,3406
Ticket #41694 | TR: délib dossier 15025 | 1 tache(s) | IDs GLPI: 3403
Ticket #41710 | Confirmation liste des personnes autorisées à apporter des modifications sur K:\DSF-CCAS - Facturation | 1 tache(s) | IDs GLPI: 3384
Ticket #41712 | Demande de double dotation d'ordinateur portable - Mme Alexandra Baulard | 1 tache(s) | IDs GLPI: 3379
Ticket #41714 | GLPI | 1 tache(s) | IDs GLPI: 3375
Ticket #41718 | Commande de disque externe | 1 tache(s) | IDs GLPI: 3369
Ticket #41719 | congésK  | 1 tache(s) | IDs GLPI: 3368
Ticket #41721 | demande ouverture de droit | 1 tache(s) | IDs GLPI: 3365
Ticket #41725 | Historique de mes mails | 2 tache(s) | IDs GLPI: 3359,3360
Ticket #41739 | RE: Préparation  6 Pc portables (pour tests application au CMS) | 1 tache(s) | IDs GLPI: 3345
Ticket #41741 | problème de téléphone fixe | 1 tache(s) | IDs GLPI: 3340
Ticket #41745 | Accès boite mail direction sports | 1 tache(s) | IDs GLPI: 3335
Ticket #41746 | spam | 1 tache(s) | IDs GLPI: 3333
Ticket #41747 | Besoin de disposer d'ordinateurs fonctionnels le 24/01/2026 jusqu'à 22h00  à la médiathèque du centre-ville pour la Nuit de la Lecture | 1 tache(s) | IDs GLPI: 3331
Ticket #41748 | PB téléphone standard Tremplin (Hangar) | 1 tache(s) | IDs GLPI: 3327
Ticket #41749 | Droit d'accès | 2 tache(s) | IDs GLPI: 3324,3325
Ticket #41750 | DAJCP - SCC- Renouvellement mandat 2026 - Espace collaboratif | 2 tache(s) | IDs GLPI: 3321,3322
Ticket #41751 | Ouverture accès Airdelib | 1 tache(s) | IDs GLPI: 3319
Ticket #41753 | FICHE ARRIVEE SERVICE MAISON DE QUARTIER IVRY PORT | 1 tache(s) | IDs GLPI: 3316
Ticket #41756 | BAIE SITE PIERRE RIGAUD | 1 tache(s) | IDs GLPI: 3312
Ticket #41757 | Autorisation dossier | 1 tache(s) | IDs GLPI: 3310
Ticket #41759 | Fiche de changement d’affectation – Mme Sandra MEHTAL (immersion au Pôle Familles) | 1 tache(s) | IDs GLPI: 3308
Ticket #41760 | SSIAD-DEMANDE DE NOUVELLE TELEPHONE PORTABLE | 1 tache(s) | IDs GLPI: 3306
Ticket #41764 | Imp CDL Rosa Parks reçoit impressions du CMS | 1 tache(s) | IDs GLPI: 3301
Ticket #41767 | Fiche arrivée | 1 tache(s) | IDs GLPI: 3297
Ticket #41770 | demande de création de compte microsoft,  demande d'ordinateur pour Mme Alexia Ghobril | 2 tache(s) | IDs GLPI: 3292,3293
Ticket #41771 | Réseau RA Croizat | 1 tache(s) | IDs GLPI: 3290
Ticket #41774 | TR: Ivry-sur-Seine - Luxy (Le) : Téléchargement bloqué | 2 tache(s) | IDs GLPI: 3285,3286
Ticket #41777 | Adresse apipa sur le poste PO24203 | 1 tache(s) | IDs GLPI: 3281
Ticket #41778 | Reçoit les invitation Calendrier de son ancienne Direction = DDAC | 1 tache(s) | IDs GLPI: 3279
Ticket #41779 | fiche arrivée nouvel agent  | 2 tache(s) | IDs GLPI: 3276,3277
Ticket #41780 | augmentation de quota | 1 tache(s) | IDs GLPI: 3274
Ticket #41782 | Création de compte Mme PIERRE LOUIS Jennifer | 2 tache(s) | IDs GLPI: 3270,3271
Ticket #41785 | Demande d'installation teams  | 1 tache(s) | IDs GLPI: 3264
Ticket #41789 | Nouvel arrivant: création compte et dotation | 3 tache(s) | IDs GLPI: 3257,3258,3259
Ticket #41790 | Octopus - Mise à disposition d'une tablette avec carte SIM | 1 tache(s) | IDs GLPI: 3255
Ticket #41791 | Demande d'intervention - Problème de paramétrage d'impression (formats A4 et A3) | 1 tache(s) | IDs GLPI: 3253
Ticket #41793 | RE: [GLPI #0037009] Root entity &gt; Support | Clôture du ticket : TR: Installation EMS postes bureaux | 1 tache(s) | IDs GLPI: 3250
Ticket #41796 | adobe  | 1 tache(s) | IDs GLPI: 3246
Ticket #41798 | Salle informatique centre Jeanne Hachette | 2 tache(s) | IDs GLPI: 3243,3244
Ticket #41801 | SSIAD-PROBLEME PC-UC19035 | 1 tache(s) | IDs GLPI: 3239
Ticket #41803 | Commande de 6 tablettes pour le Quiz Kahoot - Cérémonie d'accueil des stagiaires Lundi 15/12/25 09h00-11h00 - CLG ASSIA DJEBAR | 1 tache(s) | IDs GLPI: 3236
Ticket #41805 | Ticket pour projecteur EGP - Espace débat | 1 tache(s) | IDs GLPI: 3233
Ticket #41807 | telephone fixe  | 1 tache(s) | IDs GLPI: 3228
Ticket #41808 | Millesime NOK | 1 tache(s) | IDs GLPI: 3226
Ticket #41812 | Boite SCHC = Ne reçoit plus mails depuis le 06/11/2025 | 2 tache(s) | IDs GLPI: 3220,3221
Ticket #41813 | TR: situation famille HUMBEY commission- demande de logement - situation urgente | 1 tache(s) | IDs GLPI: 3218
Ticket #41816 | Ne parvient pas à envoyer des mails depuis la boite casc@ivry94.fr | 1 tache(s) | IDs GLPI: 3214
Ticket #41820 | UC20137 rame énormément | 1 tache(s) | IDs GLPI: 3208
Ticket #41828 | espace saturé sur X | 1 tache(s) | IDs GLPI: 3196
Ticket #41830 | Re: [GLPI #0036314] Root entity &gt; Support | Clôture du ticket : TR: TPE | 1 tache(s) | IDs GLPI: 3193
Ticket #41831 | Accès boite schs  | 1 tache(s) | IDs GLPI: 3191
Ticket #41832 | Outlook  | 1 tache(s) | IDs GLPI: 3189
Ticket #41833 | Demande de création de compte (stagiaire de 3ème) | 1 tache(s) | IDs GLPI: 3186
Ticket #41834 | Création de compte BEN KAHLA Marouane | 1 tache(s) | IDs GLPI: 3185
Ticket #41835 | Information départ retraite Mme Marrapodi | 1 tache(s) | IDs GLPI: 3183
Ticket #41841 | Dysfonctionnement ordinateurs OPAC (consultation catalogue)  médiathèque du centre-ville | 1 tache(s) | IDs GLPI: 3176
Ticket #41842 | RE: Ajout boite mail | 2 tache(s) | IDs GLPI: 3173,3174
Ticket #41843 | Demande de création boite mail "Finances SMPPB" | 3 tache(s) | IDs GLPI: 3169,3170,3171
Ticket #41844 | Création dossier lecteur K: | 1 tache(s) | IDs GLPI: 3167
Ticket #41845 | demande chemin d'accès RPI | 1 tache(s) | IDs GLPI: 3165
Ticket #41847 | ACCES BOITE MAIL - ALEXANDRA BAULARD | 1 tache(s) | IDs GLPI: 3162
Ticket #41851 | Microsoft Formulaire | 1 tache(s) | IDs GLPI: 3155
Ticket #41852 | Nos mails dans les spams | 1 tache(s) | IDs GLPI: 3151
Ticket #41853 | Outlook erreur | 1 tache(s) | IDs GLPI: 3149
Ticket #41854 | Droits d'accès sur K  | 1 tache(s) | IDs GLPI: 3147
Ticket #41855 | adresses génériques | 1 tache(s) | IDs GLPI: 3145
Ticket #41856 | activation Rainbow - DAGO | 1 tache(s) | IDs GLPI: 3143
Ticket #41859 | demande de partage du logiciel caisse GTS-V5 | 1 tache(s) | IDs GLPI: 3138
Ticket #41860 | Excel | 1 tache(s) | IDs GLPI: 3135
Ticket #41861 | RECUPERATION DOSSIER SUPPRIME | 1 tache(s) | IDs GLPI: 3133
Ticket #41866 | espace de stockage  | 1 tache(s) | IDs GLPI: 3125
Ticket #41869 | Cable Ethernet défectueux | 1 tache(s) | IDs GLPI: 3118
Ticket #41872 | Pas de réseau sur le poste | 1 tache(s) | IDs GLPI: 3114
Ticket #41876 | Lecteur réseau  | 1 tache(s) | IDs GLPI: 3107
Ticket #41878 | restauration de fichier urgent | 1 tache(s) | IDs GLPI: 3105
Ticket #41880 | TR: panne | 2 tache(s) | IDs GLPI: 3101,3102
Ticket #41882 | Bonjour,   Serait-il possible d’installer une petite imprimante dans l | 2 tache(s) | IDs GLPI: 3097,3098
Ticket #41884 | Problème activation compte lizmap | 5 tache(s) | IDs GLPI: 3090,3091,3092,3093,3094
Ticket #41886 | Piscine : problème de FMI dimanche matin | 1 tache(s) | IDs GLPI: 3087
Ticket #41888 | /!\ URGENT /!\ Demande d'autorisation d'accès = X:\Gestion_Relations_Usagers\Secteur Courrier\A -Agents tableaux à remplir\RECOMMANDES | 1 tache(s) | IDs GLPI: 3084
Ticket #41890 | Impossible de se connecter sur appli Outlook  | 2 tache(s) | IDs GLPI: 3080,3081
Ticket #41893 | Scan n'arrivent pas Elise = Tous le Service | 1 tache(s) | IDs GLPI: 3076
Ticket #41894 | Boite générique "Projetsusagers" | 1 tache(s) | IDs GLPI: 3074
Ticket #41895 | Démission Léa Le Garrec  | 1 tache(s) | IDs GLPI: 3072
Ticket #41896 | Changement de bureau | branchement ordinateur + téléphone fixe à installer | 1 tache(s) | IDs GLPI: 3068
Ticket #41899 | Arrivée madame Dorothée INGERT sur le poste de DGA au 1er décembre 2025 | 3 tache(s) | IDs GLPI: 3063,3064,3065
Ticket #41900 | URGENCE : piscine Robespierre,  demande de solutions pour relancer du serveur à distance soir et we | 2 tache(s) | IDs GLPI: 3060,3061
Ticket #41901 | Demande de tablette IPAD pour le SCC | 1 tache(s) | IDs GLPI: 3059
Ticket #41903 | Fiche arrivée | 2 tache(s) | IDs GLPI: 3055,3056
Ticket #41906 | Modification d'intitulé | 1 tache(s) | IDs GLPI: 3051
Ticket #41911 | Rainbow | 1 tache(s) | IDs GLPI: 3045
Ticket #41913 | Accès boite "séjours vacances" | 1 tache(s) | IDs GLPI: 3042
Ticket #41917 | As-Tech NOK | 1 tache(s) | IDs GLPI: 3039
Ticket #41921 | deconnections de réseau CLAE Einstein | 1 tache(s) | IDs GLPI: 3036
Ticket #41922 | Formulaire DSI arrivée agents - SIS | 4 tache(s) | IDs GLPI: 3031,3032,3033,3034
Ticket #41925 | "X:\Dossiers Communs\Planning de presence\Planning de présence 2025 en prépa.xlsx" | 1 tache(s) | IDs GLPI: 3029
Ticket #41926 | Demande de restauration d'un fichier | 1 tache(s) | IDs GLPI: 3027
Ticket #41927 | Affichage poste telephonique 6462 Mme VALLET Peggy | 2 tache(s) | IDs GLPI: 3024,3025
Ticket #41928 | RE: [GLPI #0041750] Root entity &gt; Support | Clôture du ticket : DAJCP - SCC- Renouvellement mandat 2026 - Espace collaboratif | 1 tache(s) | IDs GLPI: 3022
Ticket #41930 | Fiche Sofiane Bailly | 1 tache(s) | IDs GLPI: 3019
Ticket #41933 | Impossible de supprimer dossier dans (I:) | 1 tache(s) | IDs GLPI: 3015
Ticket #41935 | Téléphone portable de Monsieur Pecqueux | 1 tache(s) | IDs GLPI: 3012
Ticket #41938 | reccupération de données  | 1 tache(s) | IDs GLPI: 3008
Ticket #41939 | accès K//CONGES | 1 tache(s) | IDs GLPI: 3006
Ticket #41940 | RE: [GLPI #0040763] Root entity &gt; Support | Clôture du ticket : Droits sur la boite commune SMP | 2 tache(s) | IDs GLPI: 3003,3004
Ticket #41941 | Quota | 3 tache(s) | IDs GLPI: 2999,3000,3001
Ticket #41942 | TR: RE: projet partenarial | 1 tache(s) | IDs GLPI: 2997
Ticket #41943 | Info : Appels excessifs sur tablette - demande de blocktel ? | 1 tache(s) | IDs GLPI: 2995
Ticket #41944 | Demande de cable et chargeur pour tablette à l'école Barbusse | 1 tache(s) | IDs GLPI: 2994
Ticket #41947 | prises  à brasser - solomon élémentaire | 1 tache(s) | IDs GLPI: 2990
Ticket #41951 | identifiant esedit et Esabora  | 1 tache(s) | IDs GLPI: 2985
Ticket #41953 | Demande Activation Appareil sur AD AZURE | 1 tache(s) | IDs GLPI: 2982
Ticket #41954 | Demande de rattachement boite mail du Casc à ma boîte professionnelle | 1 tache(s) | IDs GLPI: 2980
Ticket #41956 | TR: API COMEDEC : mise à jour des postes requise | 1 tache(s) | IDs GLPI: 2977
Ticket #41962 | Liste "Tous les agents" | 1 tache(s) | IDs GLPI: 2969
Ticket #41964 | Pas de Lecteur X | 1 tache(s) | IDs GLPI: 2966
Ticket #41965 | Affectation tablette Remarkable à Mme Montet | 1 tache(s) | IDs GLPI: 2964
Ticket #41971 | Droit sur X M. Borg | 3 tache(s) | IDs GLPI: 2952,2953,2954
Ticket #41972 | accès réseau K DGA Dorothée Ingert  | 1 tache(s) | IDs GLPI: 2950
Ticket #41973 | Création compte Mme TOURREL Joy | 1 tache(s) | IDs GLPI: 2948
Ticket #41975 | création de compte | 2 tache(s) | IDs GLPI: 2944,2945
Ticket #41976 | Demande installation telephonie  | 2 tache(s) | IDs GLPI: 2941,2942
Ticket #41978 | Restriction accès  | 1 tache(s) | IDs GLPI: 2939
Ticket #41981 | RE: Problème activation compte lizmap | 4 tache(s) | IDs GLPI: 2933,2934,2935,2936
Ticket #41983 | recensement 2026/ matériel informatique  | 1 tache(s) | IDs GLPI: 2930
Ticket #41985 | TR: Demande identifiants outil PlaniTech | 1 tache(s) | IDs GLPI: 2926
Ticket #41986 | TR: Demande changement équipement informatique | 1 tache(s) | IDs GLPI: 2923
Ticket #41988 | Plus de camera sur ordi portable  | 1 tache(s) | IDs GLPI: 2920
Ticket #41992 | Problème d’accès à SynBird – Télétravail | 1 tache(s) | IDs GLPI: 2915
Ticket #41996 | DGA - Prise de fonctions - Dorothée Ingert | 2 tache(s) | IDs GLPI: 2909,2910
Ticket #42000 | URGENT Demande de création boite mail DBC | 2 tache(s) | IDs GLPI: 2903,2904
Ticket #42001 | Demande d'affichage poste | 1 tache(s) | IDs GLPI: 2901
Ticket #42004 | demande de changement d'ordinateur suite à un choc | 1 tache(s) | IDs GLPI: 2897
Ticket #42011 | Mise à jour K/:CONGES DIRSANTE | 1 tache(s) | IDs GLPI: 2889
Ticket #42012 | mise à jour K:/CONGES DBC | 1 tache(s) | IDs GLPI: 2887
Ticket #42014 | mise à jour K/:CONGES | 1 tache(s) | IDs GLPI: 2884
Ticket #42017 | Mise à jour K/:CONGES DIRCOM | 1 tache(s) | IDs GLPI: 2880
Ticket #42018 | Mise à jour K/:CONGES DSF | 1 tache(s) | IDs GLPI: 2878
Ticket #42019 | Mise à jour K:/CONGES DDAC | 1 tache(s) | IDs GLPI: 2876
Ticket #42020 | demande de restauration | 2 tache(s) | IDs GLPI: 2873,2874
Ticket #42022 | SIS - Demande d'installation informatique pour nouveau bureau | 2 tache(s) | IDs GLPI: 2869,2870
Ticket #42023 | compte  | 3 tache(s) | IDs GLPI: 2865,2866,2867
Ticket #42027 | demande connexion wifi | 2 tache(s) | IDs GLPI: 2859,2860
Ticket #42028 | probleme de conexion | 1 tache(s) | IDs GLPI: 2855
Ticket #42030 | ARRIVEE NOUVEAU COLLEGUE | 1 tache(s) | IDs GLPI: 2852
Ticket #42031 | Demande de logiciel | 1 tache(s) | IDs GLPI: 2850
Ticket #42035 | 08/12/2025 / Déplacement Copieur (N° Série : QXM14775) du conservatoire (25, rue J.J. Rousseau) vers 8-10, avenue Spinoza | 1 tache(s) | IDs GLPI: 2846
Ticket #42038 | ACCES BOITE MAIL SCHS | 1 tache(s) | IDs GLPI: 2842
Ticket #42039 | Demande d’attribution d’un téléphone non utilisé | 1 tache(s) | IDs GLPI: 2840
Ticket #42040 | RE: Mise à jour K/:CONGES DIRCOM | 1 tache(s) | IDs GLPI: 2838
Ticket #42041 | Mise à jour K:/CONGES | 1 tache(s) | IDs GLPI: 2836
Ticket #42042 | Accès au dossier K:\CONGES | 1 tache(s) | IDs GLPI: 2834
Ticket #42043 | RE: Mise à jour K/:CONGES DIRCOM | 1 tache(s) | IDs GLPI: 2832
Ticket #42045 | Demande d'intervention PB imprimante | 1 tache(s) | IDs GLPI: 2829
Ticket #42047 | FICHE NOUVELLE ARRIVEE MME MONDHER HOUDA - EGP | 2 tache(s) | IDs GLPI: 2825,2826
Ticket #42048 | RE: Demande d’attribution d’un téléphone non utilisé | 1 tache(s) | IDs GLPI: 2823
Ticket #42049 | Mise à jour K:/CONGES DSALE | 1 tache(s) | IDs GLPI: 2821
Ticket #42050 | fiches nouvelles arrivées - Mme HERRY Valentine  et Mme CANEVET Léa -  EGP | 1 tache(s) | IDs GLPI: 2819
Ticket #42052 | Bornes wifi - demande | 1 tache(s) | IDs GLPI: 2814
Ticket #42054 | problème AGORA | 1 tache(s) | IDs GLPI: 2811
Ticket #42058 | RE: Logiciel Agde ticket Glpi #41057 et demande tablette | 1 tache(s) | IDs GLPI: 2806
Ticket #42061 | Session Synbird | 2 tache(s) | IDs GLPI: 2801,2802
